NAME,URL,SECTOR,TWITTER,DATA SOURCE
Teamwork,https://www.teamwork.com/,Enterprise,,"Dogpatch Labs, Accenture"
Teanga,http://www.teanga.me,EdTech,@teangainfo,DCSO
Techworks Marine,http://www.techworks.ie/,Environment (green/clean),@TechWorksMarine,AIB
Tel Magnetic Solutions,http://www.magnetic-solutions.com/,Hardware & IoT,,Trinity Research & Innovation
Tele Health Services,http://contactcare.ie/telehealth/,MedTech,,AIB
Telecity Group,http://www.telecitygroup.ie/,Big Data & Analytics,,AIB
Tempbuddy,https://tempbuddy.com,Enterprise,@tempbuddy,"Bank of Ireland, IVCA, NDRC"
Tempity,http://www.tempity.com,Enterprise,@TempityTweets,"Bank of Ireland, IVCA, HBAN, NDRC"
Tenderscout,http://www.tenderscout.com,Big Data & Analytics,@tenderscout,"AIB, Bank of Ireland, IVCA, Dublin BIC"
Teqball,http://www.teqball.com/,Sports,,Dogpatch Labs
TerminalFour,http://www.terminalfour.com,Big Data & Analytics,@TERMINALFOUR,"AIB, Dublin BIC"
Testreach,http://www.testreach.com/,EdTech,,"DCU Ryan Academy, Nova UCD"
Tethras,http://www.tethras.com/,Enterprise,,Accenture
Text Me A Drink,http://www.text-me-a-drink.com,Enterprise,,"Bank of Ireland, IVCA"
ThankFrank,http://thankfrank.com,Social Media,thankfrankcom,"Bank of Ireland, IVCA, Synergy Centre"
The Blue Entity,http://nstrata.com/,Big Data & Analytics,,Web Summit
The Hub Controller,http://thehubcontroller.com/,Hardware & IoT,,EI
The Localizer,http://thelocalizer.com/,Enterprise,,Digital Hub
The Media Trader,http://themediatrader.com,Advertising & Marketing,@themediatrader,
The Product Works ,http://www.theproduct.works/,FinTech,@theproductworks,
The XX Corporation,http://www.thexxcorporation.com/,Advertising & Marketing,,DCSO
Thingamy,http://www.thingamy.com,Enterprise,@thingamy,"Bank of Ireland, IVCA"
Think Big,http://thinkbig.teradata.com/,Big Data & Analytics,,Dogpatch Labs
Thinscale Technology,http://thinscaletechnology.com,Enterprise,,IADT Media Cube
ThoughtBox,http://www.thoughtboxlearning.com,EdTech,@ThoughtBoxEd,"AIB, Bank of Ireland, IVCA, NDRC"
Tickerfit,http://www.tickerfit.com/,Digital Health,@@tickerfit,"DCU Ryan Academy, Dell"
Ticket ABC,http://www.ticketabc.com,eCommerce,@ticketabc,"Bank of Ireland, IVCA"
Tickets.ie,www.tickets.ie,eCommerce,,AIB
Tilltonic,https://tilltonic.com/,Enterprise,,"EI HPSU, DCU Ryan Academy"
Time Warden,http://1timetracking.com,Enterprise,@1time,"AIB, Bank of Ireland, IVCA"
Tip Tap Tap,http://www.tiptaptap.ie/,EdTech,@tiptaptap_edu,Web Summit
Tipple.me,http://tipple.me/,Philanthropy & Social Good,@GetTipple,"Bank of Ireland, IVCA"
Tito,https://ti.to/,Enterprise,,
Tivus,tivus.io,FinTech,,
Together Software,http://crmtogether.com/,Enterprise,,"Bank of Ireland, IVCA"
Tolerant Networks Ltd,http://tolerantnetworks.com/,Hardware & IoT,,Trinity Research & Innovation
Topper Technology Ltd,http://www.topper.ie,Enterprise,,DCSO
Total Defense,http://totaldefense.com,Security & Encryption,Total_Defense,Crunchbase
Touchapps,http://touchapps.ie/,Enterprise,,"Bank of Ireland, IVCA"
